T 	 300 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115780 	 tau 	 5.040000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.795577 	 acc_minus 	 0.645000 	 acc_0 	 0.180468 	
T 	 800 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115780 	 tau 	 5.040000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.861424 	 acc_minus 	 0.713209 	 acc_0 	 0.229362 	
T 	 1300 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115780 	 tau 	 5.040000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.875407 	 acc_minus 	 0.698016 	 acc_0 	 0.216063 	
T 	 1800 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115780 	 tau 	 5.040000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.865023 	 acc_minus 	 0.842698 	 acc_0 	 0.287102 	
T 	 2300 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115780 	 tau 	 5.040000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.908125 	 acc_minus 	 0.765622 	 acc_0 	 0.284959 	
T 	 300 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115840 	 tau 	 5.050000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.899338 	 acc_minus 	 0.842593 	 acc_0 	 0.261917 	
T 	 300 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115840 	 tau 	 5.050000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.917055 	 acc_minus 	 0.821411 	 acc_0 	 0.259278 	
T 	 2800 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115780 	 tau 	 5.040000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.847129 	 acc_minus 	 0.818333 	 acc_0 	 0.272704 	
T 	 800 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115840 	 tau 	 5.050000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.963333 	 acc_minus 	 0.955833 	 acc_0 	 0.377633 	
T 	 3300 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115780 	 tau 	 5.040000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.891833 	 acc_minus 	 0.781653 	 acc_0 	 0.315038 	
T 	 3800 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115780 	 tau 	 5.040000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.821436 	 acc_minus 	 0.813131 	 acc_0 	 0.215217 	
T 	 1800 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115840 	 tau 	 5.050000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.968510 	 acc_minus 	 0.961905 	 acc_0 	 0.579192 	
T 	 2300 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115840 	 tau 	 5.050000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.981818 	 acc_minus 	 0.980794 	 acc_0 	 0.582859 	
T 	 4300 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.115780 	 tau 	 5.040000 	 BBLR_thr 	 0.500000 	 acc_plus 	 0.788144 	 acc_minus 	 0.725741 	 acc_0 	 0.166945 	
