T 	 100 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.306396 	 acc_minus 	 0.086771 	 acc_0 	 0.871173 	
T 	 600 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.630051 	 acc_minus 	 0.354040 	 acc_0 	 0.925777 	
T 	 1100 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.762242 	 acc_minus 	 0.536131 	 acc_0 	 0.948030 	
T 	 1600 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.849794 	 acc_minus 	 0.604303 	 acc_0 	 0.959875 	
T 	 2100 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.896988 	 acc_minus 	 0.742991 	 acc_0 	 0.974149 	
T 	 2600 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.872742 	 acc_minus 	 0.741207 	 acc_0 	 0.979217 	
T 	 3100 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.915937 	 acc_minus 	 0.802998 	 acc_0 	 0.982103 	
T 	 4600 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.946838 	 acc_minus 	 0.887921 	 acc_0 	 0.987933 	
T 	 3600 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.922646 	 acc_minus 	 0.842372 	 acc_0 	 0.982007 	
T 	 6600 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.959725 	 acc_minus 	 0.890830 	 acc_0 	 0.987489 	
T 	 4100 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.938513 	 acc_minus 	 0.849678 	 acc_0 	 0.977489 	
T 	 5100 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.929860 	 acc_minus 	 0.834583 	 acc_0 	 0.978085 	
T 	 5600 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.945909 	 acc_minus 	 0.867250 	 acc_0 	 0.984853 	
T 	 6100 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.951610 	 acc_minus 	 0.892534 	 acc_0 	 0.989272 	
