T 	 700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100000 	 tau 	 5.000000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.597796 	 acc_minus 	 0.198826 	 err 	 0.378891 	
T 	 1200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100000 	 tau 	 5.000000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.709091 	 acc_minus 	 0.287348 	 err 	 0.303891 	
T 	 1700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100000 	 tau 	 5.000000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.753363 	 acc_minus 	 0.377981 	 err 	 0.254505 	
T 	 2200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100000 	 tau 	 5.000000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.806541 	 acc_minus 	 0.484552 	 err 	 0.204574 	
T 	 3200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100000 	 tau 	 5.000000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.873868 	 acc_minus 	 0.550648 	 err 	 0.141665 	
T 	 2700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100000 	 tau 	 5.000000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.839655 	 acc_minus 	 0.599059 	 err 	 0.171102 	
T 	 3700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100000 	 tau 	 5.000000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.921219 	 acc_minus 	 0.743802 	 err 	 0.089406 	
T 	 4200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100000 	 tau 	 5.000000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.924505 	 acc_minus 	 0.697263 	 err 	 0.094965 	
T 	 4700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100000 	 tau 	 5.000000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.925782 	 acc_minus 	 0.728374 	 err 	 0.093332 	
T 	 700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100050 	 tau 	 5.010000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.625712 	 acc_minus 	 0.200882 	 err 	 0.377658 	
T 	 1200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100050 	 tau 	 5.010000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.695988 	 acc_minus 	 0.309330 	 err 	 0.301397 	
T 	 700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100100 	 tau 	 5.020000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.607293 	 acc_minus 	 0.250884 	 err 	 0.369180 	
T 	 1200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100100 	 tau 	 5.020000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.716171 	 acc_minus 	 0.352735 	 err 	 0.294674 	
T 	 1700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100100 	 tau 	 5.020000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.758452 	 acc_minus 	 0.368240 	 err 	 0.252575 	
T 	 2200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100100 	 tau 	 5.020000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.823822 	 acc_minus 	 0.436710 	 err 	 0.206432 	
T 	 2700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100100 	 tau 	 5.020000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.854199 	 acc_minus 	 0.500251 	 err 	 0.162651 	
T 	 3700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100100 	 tau 	 5.020000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.899253 	 acc_minus 	 0.673022 	 err 	 0.116969 	
T 	 4200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100100 	 tau 	 5.020000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.889662 	 acc_minus 	 0.648041 	 err 	 0.117784 	
T 	 3200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100100 	 tau 	 5.020000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.851659 	 acc_minus 	 0.622680 	 err 	 0.159038 	
T 	 4700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100100 	 tau 	 5.020000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.897063 	 acc_minus 	 0.645693 	 err 	 0.112163 	
T 	 1200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.100100 	 tau 	 5.020000 	 BBLR_thr 	 -100000.000000 	 acc_plus 	 0.553571 	 acc_minus 	 0.250000 	 err 	 0.534483 	
