T 	 100 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017200 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.347528 	 acc_minus 	 0.130229 	 acc_0 	 0.878434 	
T 	 600 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017200 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.674320 	 acc_minus 	 0.497513 	 acc_0 	 0.937211 	
T 	 1100 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017200 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.821934 	 acc_minus 	 0.680403 	 acc_0 	 0.963501 	
T 	 1600 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017200 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.862902 	 acc_minus 	 0.726356 	 acc_0 	 0.967904 	
T 	 2100 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017200 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.906762 	 acc_minus 	 0.762433 	 acc_0 	 0.972530 	
T 	 2600 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017200 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.946178 	 acc_minus 	 0.864134 	 acc_0 	 0.987447 	
T 	 3100 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017200 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.950397 	 acc_minus 	 0.896713 	 acc_0 	 0.988677 	
T 	 3600 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017200 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.941890 	 acc_minus 	 0.875030 	 acc_0 	 0.987818 	
T 	 4100 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017200 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.949375 	 acc_minus 	 0.891800 	 acc_0 	 0.986233 	
T 	 4600 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017200 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.949973 	 acc_minus 	 0.867959 	 acc_0 	 0.988102 	
T 	 5100 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017200 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.964256 	 acc_minus 	 0.941589 	 acc_0 	 0.985693 	
T 	 5600 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017200 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.959669 	 acc_minus 	 0.901080 	 acc_0 	 0.983322 	
T 	 6100 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017200 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.953085 	 acc_minus 	 0.900560 	 acc_0 	 0.988222 	
T 	 6600 	 theta 	 0.020000 	 p 	 0.150000 	 q 	 0.151240 	 tau 	 5.017200 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.936996 	 acc_minus 	 0.900742 	 acc_0 	 0.989924 	
