T 	 700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.072222 	 tau 	 3.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.667533 	 err 	 0.284462 	
T 	 1200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.072222 	 tau 	 3.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.731838 	 err 	 0.227267 	
T 	 1700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.072222 	 tau 	 3.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.810664 	 err 	 0.164875 	
T 	 2200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.072222 	 tau 	 3.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.864480 	 err 	 0.120377 	
T 	 2700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.072222 	 tau 	 3.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.882795 	 err 	 0.100240 	
T 	 3700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.072222 	 tau 	 3.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.908509 	 err 	 0.076984 	
T 	 3200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.072222 	 tau 	 3.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.898538 	 err 	 0.087211 	
T 	 700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.086667 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.703230 	 err 	 0.256217 	
T 	 1200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.086667 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.814591 	 err 	 0.170591 	
T 	 4200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.072222 	 tau 	 3.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.923868 	 err 	 0.064644 	
T 	 1700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.086667 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.850197 	 err 	 0.130119 	
T 	 4700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.072222 	 tau 	 3.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.953089 	 err 	 0.043290 	
T 	 2200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.086667 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.908445 	 err 	 0.086224 	
T 	 2700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.086667 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.897007 	 err 	 0.085209 	
T 	 3200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.086667 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.920366 	 err 	 0.064855 	
T 	 3700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.086667 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.940605 	 err 	 0.051042 	
T 	 4200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.086667 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.960573 	 err 	 0.037801 	
T 	 4700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.086667 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.977422 	 err 	 0.025586 	
T 	 700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.108330 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.766418 	 err 	 0.210521 	
T 	 1200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.108330 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.842709 	 err 	 0.135098 	
T 	 1700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.108330 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.916191 	 err 	 0.076073 	
T 	 2200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.108330 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.924788 	 err 	 0.065211 	
T 	 2700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.108330 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.954559 	 err 	 0.041833 	
T 	 3200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.108330 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.966130 	 err 	 0.033108 	
T 	 3700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.108330 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.983599 	 err 	 0.019555 	
T 	 4200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.108330 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.992400 	 err 	 0.013298 	
T 	 4700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.108330 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.989563 	 err 	 0.014965 	
