T 	 2200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.108330 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.836370 	 err 	 0.145405 	
T 	 700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.108330 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.657650 	 err 	 0.308160 	
T 	 1200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.108330 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.763144 	 err 	 0.213777 	
T 	 1700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.108330 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.808467 	 err 	 0.177188 	
T 	 2200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.108330 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.833630 	 err 	 0.141575 	
T 	 2700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.108330 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.872780 	 err 	 0.111578 	
T 	 3200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.108330 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.910077 	 err 	 0.083302 	
T 	 3700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.108330 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.926289 	 err 	 0.066238 	
T 	 4200 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.108330 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.942383 	 err 	 0.053667 	
T 	 4700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.108330 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.946145 	 err 	 0.050477 	
T 	 700 	 theta 	 0.150000 	 p 	 0.300000 	 q 	 0.325000 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.463644 	 err 	 0.471204 	
T 	 1200 	 theta 	 0.150000 	 p 	 0.300000 	 q 	 0.325000 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.496076 	 err 	 0.429075 	
T 	 1700 	 theta 	 0.150000 	 p 	 0.300000 	 q 	 0.325000 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.446948 	 err 	 0.443122 	
T 	 2200 	 theta 	 0.150000 	 p 	 0.300000 	 q 	 0.325000 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.573140 	 err 	 0.362974 	
T 	 2700 	 theta 	 0.150000 	 p 	 0.300000 	 q 	 0.325000 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.537944 	 err 	 0.375682 	
T 	 3200 	 theta 	 0.150000 	 p 	 0.300000 	 q 	 0.325000 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.625678 	 err 	 0.315672 	
T 	 3700 	 theta 	 0.150000 	 p 	 0.300000 	 q 	 0.325000 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.623980 	 err 	 0.309543 	
T 	 4200 	 theta 	 0.150000 	 p 	 0.300000 	 q 	 0.325000 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.587687 	 err 	 0.327843 	
T 	 4700 	 theta 	 0.150000 	 p 	 0.300000 	 q 	 0.325000 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.562707 	 err 	 0.357246 	
T 	 700 	 theta 	 0.050000 	 p 	 0.150000 	 q 	 0.216670 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.683940 	 err 	 0.117954 	
T 	 1200 	 theta 	 0.050000 	 p 	 0.150000 	 q 	 0.216670 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.815788 	 err 	 0.070918 	
T 	 1700 	 theta 	 0.050000 	 p 	 0.150000 	 q 	 0.216670 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.861291 	 err 	 0.050545 	
T 	 2200 	 theta 	 0.050000 	 p 	 0.150000 	 q 	 0.216670 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.905305 	 err 	 0.036220 	
T 	 2700 	 theta 	 0.050000 	 p 	 0.150000 	 q 	 0.216670 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.956794 	 err 	 0.020368 	
T 	 3200 	 theta 	 0.050000 	 p 	 0.150000 	 q 	 0.216670 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.920905 	 err 	 0.026077 	
T 	 3700 	 theta 	 0.050000 	 p 	 0.150000 	 q 	 0.216670 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.946583 	 err 	 0.018600 	
T 	 4200 	 theta 	 0.050000 	 p 	 0.150000 	 q 	 0.216670 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.942725 	 err 	 0.018081 	
T 	 4700 	 theta 	 0.050000 	 p 	 0.150000 	 q 	 0.216670 	 tau 	 500000.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.971727 	 err 	 0.012599 	
T 	 700 	 theta 	 0.050000 	 p 	 0.300000 	 q 	 0.086667 	 tau 	 5.000000 	 BBLR_thr 	 0.000000 	 acc 	 0.615334 	 err 	 0.326566 	
