T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 27 	 7 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.400000 	 acc_minus 	 0.242857 	 acc_0 	 0.867470 	
T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 25 	 6 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.420000 	 acc_minus 	 0.200000 	 acc_0 	 0.868639 	
T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 26 	 7 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.430769 	 acc_minus 	 0.342857 	 acc_0 	 0.877844 	
T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 30 	 7 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.366667 	 acc_minus 	 0.300000 	 acc_0 	 0.867485 	
T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 28 	 7 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.385714 	 acc_minus 	 0.157143 	 acc_0 	 0.864848 	
T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 22 	 5 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.468182 	 acc_minus 	 0.280000 	 acc_0 	 0.878035 	
T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 32 	 8 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.350000 	 acc_minus 	 0.300000 	 acc_0 	 0.860000 	
T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 20 	 5 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.400000 	 acc_minus 	 0.220000 	 acc_0 	 0.900000 	
T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 24 	 6 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.408333 	 acc_minus 	 0.316667 	 acc_0 	 0.880588 	
T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 31 	 8 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.325806 	 acc_minus 	 0.200000 	 acc_0 	 0.868944 	
T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 14 	 3 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.407143 	 acc_minus 	 0.266667 	 acc_0 	 0.961749 	
T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 18 	 4 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.433333 	 acc_minus 	 0.250000 	 acc_0 	 0.917416 	
T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 26 	 6 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.403846 	 acc_minus 	 0.166667 	 acc_0 	 0.883929 	
T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 14 	 4 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.407143 	 acc_minus 	 0.125000 	 acc_0 	 0.970879 	
