10 	 -66.000000 
15 	 -99.000000 
20 	 -121.000000 
25 	 -154.000000 
30 	 -176.000000 
35 	 -209.000000 
40 	 -220.000000 
45 	 -242.000000 
50 	 -264.000000 
55 	 -286.000000 
60 	 -286.000000 
65 	 -319.000000 
70 	 -346.000000 
75 	 -378.000000 
80 	 -403.000000 
85 	 -404.000000 
90 	 -440.000000 
95 	 -458.000000 
10 	 -35.552020 
15 	 -52.356566 
20 	 -67.984848 
25 	 -85.585859 
30 	 -103.690909 
35 	 -121.869697 
40 	 -138.536364 
45 	 -154.993939 
50 	 -172.160606 
55 	 -189.253535 
60 	 -206.491414 
65 	 -224.092424 
70 	 -242.122727 
75 	 -259.408081 
80 	 -276.780303 
85 	 -294.083333 
90 	 -311.332323 
95 	 -329.003030 
10 	 -35.552020 	 293.901839 
15 	 -52.356566 	 465.241548 
20 	 -67.984848 	 564.937144 
25 	 -85.585859 	 732.269901 
30 	 -103.690909 	 949.998402 
35 	 -121.869697 	 1171.606253 
40 	 -138.536364 	 1336.352718 
45 	 -154.993939 	 1546.555519 
50 	 -172.160606 	 1765.197438 
55 	 -189.253535 	 1942.741780 
60 	 -206.491414 	 2100.393361 
65 	 -224.092424 	 2421.598023 
70 	 -242.122727 	 2678.244029 
75 	 -259.408081 	 2950.925389 
80 	 -276.780303 	 3047.999713 
85 	 -294.083333 	 3119.141035 
90 	 -311.332323 	 3429.912794 
95 	 -329.003030 	 3849.538375 
10 	 -35.552020 	 293.901839 
15 	 -52.356566 	 465.241548 
20 	 -67.984848 	 564.937144 
25 	 -85.585859 	 732.269901 
30 	 -103.690909 	 949.998402 
35 	 -121.869697 	 1171.606253 
40 	 -138.536364 	 1336.352718 
45 	 -154.993939 	 1546.555519 
50 	 -172.160606 	 1765.197438 
55 	 -189.253535 	 1942.741780 
60 	 -206.491414 	 2100.393361 
65 	 -224.092424 	 2421.598023 
70 	 -242.122727 	 2678.244029 
75 	 -259.408081 	 2950.925389 
80 	 -276.780303 	 3047.999713 
85 	 -294.083333 	 3119.141035 
90 	 -311.332323 	 3429.912794 
95 	 -329.003030 	 3849.538375 
10 	 -35.552020 	 293.901839 
15 	 -52.356566 	 465.241548 
20 	 -67.984848 	 564.937144 
25 	 -85.585859 	 732.269901 
30 	 -103.690909 	 949.998402 
35 	 -121.869697 	 1171.606253 
40 	 -138.536364 	 1336.352718 
45 	 -154.993939 	 1546.555519 
50 	 -172.160606 	 1765.197438 
55 	 -189.253535 	 1942.741780 
60 	 -206.491414 	 2100.393361 
65 	 -224.092424 	 2421.598023 
70 	 -242.122727 	 2678.244029 
75 	 -259.408081 	 2950.925389 
80 	 -276.780303 	 3047.999713 
85 	 -294.083333 	 3119.141035 
90 	 -311.332323 	 3429.912794 
95 	 -329.003030 	 3849.538375 
10 	 -35.552020 	 293.901839 
15 	 -52.356566 	 465.241548 
20 	 -67.984848 	 564.937144 
25 	 -85.585859 	 732.269901 
30 	 -103.690909 	 949.998402 
35 	 -121.869697 	 1171.606253 
40 	 -138.536364 	 1336.352718 
45 	 -154.993939 	 1546.555519 
50 	 -172.160606 	 1765.197438 
55 	 -189.253535 	 1942.741780 
60 	 -206.491414 	 2100.393361 
65 	 -224.092424 	 2421.598023 
70 	 -242.122727 	 2678.244029 
75 	 -259.408081 	 2950.925389 
80 	 -276.780303 	 3047.999713 
85 	 -294.083333 	 3119.141035 
90 	 -311.332323 	 3429.912794 
95 	 -329.003030 	 3849.538375 
10 	 -3.555202 	 2.939018 
15 	 -3.490438 	 2.067740 
20 	 -3.399242 	 1.412343 
25 	 -3.423434 	 1.171632 
30 	 -3.456364 	 1.055554 
35 	 -3.481991 	 0.956413 
40 	 -3.463409 	 0.835220 
45 	 -3.444310 	 0.763731 
50 	 -3.443212 	 0.706079 
55 	 -3.440973 	 0.642229 
60 	 -3.441524 	 0.583443 
65 	 -3.447576 	 0.573159 
70 	 -3.458896 	 0.546580 
75 	 -3.458774 	 0.524609 
80 	 -3.459754 	 0.476250 
85 	 -3.459804 	 0.431715 
90 	 -3.459248 	 0.423446 
95 	 -3.463190 	 0.426542 
10 	 -3.555202 	 2.939018 
15 	 -3.490438 	 2.067740 
20 	 -3.399242 	 1.412343 
25 	 -3.423434 	 1.171632 
30 	 -3.456364 	 1.055554 
35 	 -3.481991 	 0.956413 
40 	 -3.463409 	 0.835220 
45 	 -3.444310 	 0.763731 
50 	 -3.443212 	 0.706079 
55 	 -3.440973 	 0.642229 
60 	 -3.441524 	 0.583443 
65 	 -3.447576 	 0.573159 
70 	 -3.458896 	 0.546580 
75 	 -3.458774 	 0.524609 
80 	 -3.459754 	 0.476250 
85 	 -3.459804 	 0.431715 
90 	 -3.459248 	 0.423446 
95 	 -3.463190 	 0.426542 
10 	 -3.555202 	 2.939018 
15 	 -3.490438 	 2.067740 
