10 	 8.000000 
15 	 -3.000000 
20 	 -14.000000 
25 	 -14.000000 
30 	 -6.000000 
35 	 -39.000000 
40 	 -61.000000 
45 	 -94.000000 
50 	 -113.000000 
55 	 -134.000000 
60 	 -138.000000 
65 	 -145.000000 
70 	 -167.000000 
75 	 -178.000000 
80 	 -200.000000 
85 	 -211.000000 
90 	 -222.000000 
95 	 -254.000000 
10 	 -36.772257 
15 	 -52.215321 
20 	 -75.006211 
25 	 -98.643892 
30 	 -116.567288 
35 	 -134.420290 
40 	 -153.569358 
45 	 -173.869565 
50 	 -196.407867 
55 	 -213.877847 
60 	 -233.530021 
65 	 -250.248447 
70 	 -263.155280 
75 	 -284.492754 
80 	 -302.157350 
85 	 -322.995859 
90 	 -347.273292 
95 	 -367.078675 
10 	 -36.772257 	 -36.772257 
15 	 -52.215321 	 -52.215321 
20 	 -75.006211 	 -75.006211 
25 	 -98.643892 	 -98.643892 
30 	 -116.567288 	 -116.567288 
35 	 -134.420290 	 -134.420290 
40 	 -153.569358 	 -153.569358 
45 	 -173.869565 	 -173.869565 
50 	 -196.407867 	 -196.407867 
55 	 -213.877847 	 -213.877847 
60 	 -233.530021 	 -233.530021 
65 	 -250.248447 	 -250.248447 
70 	 -263.155280 	 -263.155280 
75 	 -284.492754 	 -284.492754 
80 	 -302.157350 	 -302.157350 
85 	 -322.995859 	 -322.995859 
90 	 -347.273292 	 -347.273292 
95 	 -367.078675 	 -367.078675 
10 	 -36.772257 	 -36.772257 
15 	 -52.215321 	 -52.215321 
20 	 -75.006211 	 -75.006211 
25 	 -98.643892 	 -98.643892 
30 	 -116.567288 	 -116.567288 
35 	 -134.420290 	 -134.420290 
40 	 -153.569358 	 -153.569358 
45 	 -173.869565 	 -173.869565 
50 	 -196.407867 	 -196.407867 
55 	 -213.877847 	 -213.877847 
60 	 -233.530021 	 -233.530021 
65 	 -250.248447 	 -250.248447 
70 	 -263.155280 	 -263.155280 
75 	 -284.492754 	 -284.492754 
80 	 -302.157350 	 -302.157350 
85 	 -322.995859 	 -322.995859 
90 	 -347.273292 	 -347.273292 
95 	 -367.078675 	 -367.078675 
10 	 -36.772257 	 -36.772257 
15 	 -52.215321 	 -52.215321 
20 	 -75.006211 	 -75.006211 
25 	 -98.643892 	 -98.643892 
30 	 -116.567288 	 -116.567288 
35 	 -134.420290 	 -134.420290 
40 	 -153.569358 	 -153.569358 
45 	 -173.869565 	 -173.869565 
50 	 -196.407867 	 -196.407867 
55 	 -213.877847 	 -213.877847 
60 	 -233.530021 	 -233.530021 
65 	 -250.248447 	 -250.248447 
70 	 -263.155280 	 -263.155280 
75 	 -284.492754 	 -284.492754 
80 	 -302.157350 	 -302.157350 
85 	 -322.995859 	 -322.995859 
90 	 -347.273292 	 -347.273292 
95 	 -367.078675 	 -367.078675 
10 	 -36.772257 	 234.300100 
15 	 -52.215321 	 404.930863 
20 	 -75.006211 	 495.285676 
25 	 -98.643892 	 640.742753 
30 	 -116.567288 	 851.313795 
35 	 -134.420290 	 937.415489 
40 	 -153.569358 	 874.315583 
45 	 -173.869565 	 998.320461 
50 	 -196.407867 	 1080.887474 
55 	 -213.877847 	 1303.390876 
60 	 -233.530021 	 1643.843302 
65 	 -250.248447 	 1998.969330 
70 	 -263.155280 	 1826.288518 
75 	 -284.492754 	 2293.678519 
80 	 -302.157350 	 2391.399672 
85 	 -322.995859 	 2439.403710 
90 	 -347.273292 	 2351.291771 
95 	 -367.078675 	 2672.805404 
10 	 -3.677226 	 2.343001 
15 	 -3.481021 	 1.799693 
20 	 -3.750311 	 1.238214 
25 	 -3.945756 	 1.025188 
30 	 -3.885576 	 0.945904 
35 	 -3.840580 	 0.765237 
40 	 -3.839234 	 0.546447 
45 	 -3.863768 	 0.492998 
50 	 -3.928157 	 0.432355 
55 	 -3.888688 	 0.430873 
60 	 -3.892167 	 0.456623 
65 	 -3.849976 	 0.473129 
70 	 -3.759361 	 0.372712 
75 	 -3.793237 	 0.407765 
80 	 -3.776967 	 0.373656 
85 	 -3.799951 	 0.337634 
90 	 -3.858592 	 0.290283 
95 	 -3.863986 	 0.296156 
10 	 -3.677226 	 2.343001 
15 	 -3.481021 	 1.799693 
20 	 -3.750311 	 1.238214 
25 	 -3.945756 	 1.025188 
30 	 -3.885576 	 0.945904 
35 	 -3.840580 	 0.765237 
40 	 -3.839234 	 0.546447 
45 	 -3.863768 	 0.492998 
50 	 -3.928157 	 0.432355 
55 	 -3.888688 	 0.430873 
60 	 -3.892167 	 0.456623 
65 	 -3.849976 	 0.473129 
70 	 -3.759361 	 0.372712 
75 	 -3.793237 	 0.407765 
80 	 -3.776967 	 0.373656 
85 	 -3.799951 	 0.337634 
90 	 -3.858592 	 0.290283 
95 	 -3.863986 	 0.296156 
10 	 -3.677226 	 2.343001 
15 	 -3.481021 	 1.799693 
20 	 -3.750311 	 1.238214 
25 	 -3.945756 	 1.025188 
30 	 -3.885576 	 0.945904 
35 	 -3.840580 	 0.765237 
40 	 -3.839234 	 0.546447 
45 	 -3.863768 	 0.492998 
50 	 -3.928157 	 0.432355 
55 	 -3.888688 	 0.430873 
60 	 -3.892167 	 0.456623 
65 	 -3.849976 	 0.473129 
70 	 -3.759361 	 0.372712 
75 	 -3.793237 	 0.407765 
80 	 -3.776967 	 0.373656 
85 	 -3.799951 	 0.337634 
90 	 -3.858592 	 0.290283 
95 	 -3.863986 	 0.296156 
10 	 -3.677226 	 2.343001 
15 	 -3.481021 	 1.799693 
20 	 -3.750311 	 1.238214 
25 	 -3.945756 	 1.025188 
30 	 -3.885576 	 0.945904 
35 	 -3.840580 	 0.765237 
40 	 -3.839234 	 0.546447 
45 	 -3.863768 	 0.492998 
50 	 -3.928157 	 0.432355 
55 	 -3.888688 	 0.430873 
60 	 -3.892167 	 0.456623 
65 	 -3.849976 	 0.473129 
70 	 -3.759361 	 0.372712 
75 	 -3.793237 	 0.407765 
80 	 -3.776967 	 0.373656 
85 	 -3.799951 	 0.337634 
90 	 -3.858592 	 0.290283 
95 	 -3.863986 	 0.296156 
