10 	 -66.000000 
15 	 -99.000000 
20 	 -121.000000 
25 	 -154.000000 
30 	 -176.000000 
35 	 -209.000000 
40 	 -220.000000 
45 	 -242.000000 
50 	 -264.000000 
55 	 -286.000000 
60 	 -308.000000 
65 	 -330.000000 
70 	 -346.000000 
75 	 -378.000000 
80 	 -407.000000 
85 	 -429.000000 
90 	 -440.000000 
95 	 -473.000000 
10 	 -35.938437 
15 	 -52.446862 
20 	 -70.262969 
25 	 -89.239618 
30 	 -107.521030 
35 	 -125.717660 
40 	 -143.685949 
45 	 -160.870107 
50 	 -179.196099 
55 	 -196.972270 
60 	 -214.875149 
65 	 -232.571846 
70 	 -250.050418 
75 	 -268.258458 
80 	 -286.276105 
85 	 -304.318694 
90 	 -322.412366 
95 	 -340.953960 
10 	 -35.938437 	 263.385888 
15 	 -52.446862 	 419.010875 
20 	 -70.262969 	 504.945574 
25 	 -89.239618 	 666.804995 
30 	 -107.521030 	 850.971330 
35 	 -125.717660 	 981.486955 
40 	 -143.685949 	 1082.659366 
45 	 -160.870107 	 1263.883752 
50 	 -179.196099 	 1439.488678 
55 	 -196.972270 	 1583.587794 
60 	 -214.875149 	 1770.052742 
65 	 -232.571846 	 2018.065191 
70 	 -250.050418 	 2099.739000 
75 	 -268.258458 	 2359.086178 
80 	 -286.276105 	 2449.151974 
85 	 -304.318694 	 2484.029786 
90 	 -322.412366 	 2734.136443 
95 	 -340.953960 	 3050.394192 
10 	 -35.938437 	 263.385888 
15 	 -52.446862 	 419.010875 
20 	 -70.262969 	 504.945574 
25 	 -89.239618 	 666.804995 
30 	 -107.521030 	 850.971330 
35 	 -125.717660 	 981.486955 
40 	 -143.685949 	 1082.659366 
45 	 -160.870107 	 1263.883752 
50 	 -179.196099 	 1439.488678 
55 	 -196.972270 	 1583.587794 
60 	 -214.875149 	 1770.052742 
65 	 -232.571846 	 2018.065191 
70 	 -250.050418 	 2099.739000 
75 	 -268.258458 	 2359.086178 
80 	 -286.276105 	 2449.151974 
85 	 -304.318694 	 2484.029786 
90 	 -322.412366 	 2734.136443 
95 	 -340.953960 	 3050.394192 
10 	 -35.938437 	 263.385888 
15 	 -52.446862 	 419.010875 
20 	 -70.262969 	 504.945574 
25 	 -89.239618 	 666.804995 
30 	 -107.521030 	 850.971330 
35 	 -125.717660 	 981.486955 
40 	 -143.685949 	 1082.659366 
45 	 -160.870107 	 1263.883752 
50 	 -179.196099 	 1439.488678 
55 	 -196.972270 	 1583.587794 
60 	 -214.875149 	 1770.052742 
65 	 -232.571846 	 2018.065191 
70 	 -250.050418 	 2099.739000 
75 	 -268.258458 	 2359.086178 
80 	 -286.276105 	 2449.151974 
85 	 -304.318694 	 2484.029786 
90 	 -322.412366 	 2734.136443 
95 	 -340.953960 	 3050.394192 
10 	 -35.938437 	 263.385888 
15 	 -52.446862 	 419.010875 
20 	 -70.262969 	 504.945574 
25 	 -89.239618 	 666.804995 
30 	 -107.521030 	 850.971330 
35 	 -125.717660 	 981.486955 
40 	 -143.685949 	 1082.659366 
45 	 -160.870107 	 1263.883752 
50 	 -179.196099 	 1439.488678 
55 	 -196.972270 	 1583.587794 
60 	 -214.875149 	 1770.052742 
65 	 -232.571846 	 2018.065191 
70 	 -250.050418 	 2099.739000 
75 	 -268.258458 	 2359.086178 
80 	 -286.276105 	 2449.151974 
85 	 -304.318694 	 2484.029786 
90 	 -322.412366 	 2734.136443 
95 	 -340.953960 	 3050.394192 
10 	 -3.593844 	 2.633859 
15 	 -3.496457 	 1.862271 
20 	 -3.513148 	 1.262364 
25 	 -3.569585 	 1.066888 
30 	 -3.584034 	 0.945524 
35 	 -3.591933 	 0.801214 
40 	 -3.592149 	 0.676662 
45 	 -3.574891 	 0.624140 
50 	 -3.583922 	 0.575795 
55 	 -3.581314 	 0.523500 
60 	 -3.581252 	 0.491681 
65 	 -3.578028 	 0.477649 
70 	 -3.572149 	 0.428518 
75 	 -3.576779 	 0.419393 
80 	 -3.578451 	 0.382680 
85 	 -3.580220 	 0.343810 
90 	 -3.582360 	 0.337548 
95 	 -3.588989 	 0.337994 
10 	 -3.593844 	 2.633859 
15 	 -3.496457 	 1.862271 
20 	 -3.513148 	 1.262364 
25 	 -3.569585 	 1.066888 
30 	 -3.584034 	 0.945524 
35 	 -3.591933 	 0.801214 
40 	 -3.592149 	 0.676662 
45 	 -3.574891 	 0.624140 
50 	 -3.583922 	 0.575795 
55 	 -3.581314 	 0.523500 
60 	 -3.581252 	 0.491681 
65 	 -3.578028 	 0.477649 
70 	 -3.572149 	 0.428518 
75 	 -3.576779 	 0.419393 
80 	 -3.578451 	 0.382680 
85 	 -3.580220 	 0.343810 
90 	 -3.582360 	 0.337548 
95 	 -3.588989 	 0.337994 
10 	 -3.593844 	 2.633859 
15 	 -3.496457 	 1.862271 
20 	 -3.513148 	 1.262364 
25 	 -3.569585 	 1.066888 
30 	 -3.584034 	 0.945524 
35 	 -3.591933 	 0.801214 
40 	 -3.592149 	 0.676662 
45 	 -3.574891 	 0.624140 
50 	 -3.583922 	 0.575795 
55 	 -3.581314 	 0.523500 
60 	 -3.581252 	 0.491681 
65 	 -3.578028 	 0.477649 
70 	 -3.572149 	 0.428518 
75 	 -3.576779 	 0.419393 
80 	 -3.578451 	 0.382680 
85 	 -3.580220 	 0.343810 
90 	 -3.582360 	 0.337548 
95 	 -3.588989 	 0.337994 
10 	 -3.593844 	 2.633859 
15 	 -3.496457 	 1.862271 
20 	 -3.513148 	 1.262364 
25 	 -3.569585 	 1.066888 
30 	 -3.584034 	 0.945524 
35 	 -3.591933 	 0.801214 
40 	 -3.592149 	 0.676662 
45 	 -3.574891 	 0.624140 
50 	 -3.583922 	 0.575795 
55 	 -3.581314 	 0.523500 
60 	 -3.581252 	 0.491681 
65 	 -3.578028 	 0.477649 
70 	 -3.572149 	 0.428518 
75 	 -3.576779 	 0.419393 
80 	 -3.578451 	 0.382680 
85 	 -3.580220 	 0.343810 
90 	 -3.582360 	 0.337548 
95 	 -3.588989 	 0.337994 
